,0.0,1.0,2.0
intercept,-0.5475980280572357,1.1104691008485075,-0.5628710727910914
linearity,0.6821649906585732,0.02244002793469979,-0.704605018593259
planarity,-0.9758436539916994,-0.2355860053075081,1.2114296592992162
scattering,1.9057670815940504,-1.9377186175756733,0.03195153598160467
omnivariance,4.778614104048899,-4.61341416738652,-0.1651999366623718
sum_eigenvalues,-0.6994985661248851,0.3406655290353535,0.3588330370895512
anisotropy,-0.911373409641072,-0.7125463529022905,1.623919762543441
eigentropy,-0.9526135458800455,-0.006901914431369814,0.9595154603114165
change_of_curvature,1.2388399948990323,-2.155962941683431,0.9171229467844355
z_range,0.46416534526303194,0.41753716370794447,-0.8817025089709523
